2025-10-15 09:13:50 | INFO     | rvm_sistemi | SYSTEM: Doğrulama servisi başlatıldı.
2025-10-15 09:13:50 | INFO     | rvm_sistemi | SYSTEM: Kart Haberleşme Servisi başlatıldı - Sistem: Linux
2025-10-15 09:13:50 | INFO     | rvm_sistemi | SYSTEM: Kart arama başlatıldı - Hedef: Tümü
2025-10-15 09:13:50 | INFO     | rvm_sistemi | SYSTEM: 2 uyumlu port bulundu
2025-10-15 09:13:50 | INFO     | rvm_sistemi | SYSTEM: /dev/ttyUSB2 taranıyor...
2025-10-15 09:13:50 | INFO     | rvm_sistemi | SYSTEM: /dev/ttyUSB0 taranıyor...
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SUCCESS: SENSOR kartı /dev/ttyUSB2 portunda bulundu
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SUCCESS: MOTOR kartı /dev/ttyUSB0 portunda bulundu
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SYSTEM: sensor bağlantısı onaylandı
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SYSTEM: motor bağlantısı onaylandı
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SYSTEM: /dev/ttyUSB2 portu kapatıldı
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SYSTEM: /dev/ttyUSB0 portu kapatıldı
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SYSTEM: Tarama tamamlandı - Süre: 5.02 saniye
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SUCCESS: 2 kart bulundu: ['sensor', 'motor']
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SYSTEM: Port arama sonucu: 2 kart bulundu
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SYSTEM: Bulunan portlar: {'sensor': '/dev/ttyUSB2', 'motor': '/dev/ttyUSB0'}
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SYSTEM: Kart Haberleşme Servisi başlatıldı - Sistem: Linux
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SYSTEM: sensor ilk bağlantı kuruluyor...
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SUCCESS: sensor /dev/ttyUSB2 portuna bağlandı
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SUCCESS: sensor verilen porta başarıyla bağlandı: /dev/ttyUSB2
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SYSTEM: sensor dinleme ve yazma thread'leri başlatıldı
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SENSOR: Sensör kartı başlatıldı: /dev/ttyUSB2
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SYSTEM: Kart Haberleşme Servisi başlatıldı - Sistem: Linux
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SYSTEM: motor ilk bağlantı kuruluyor...
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SUCCESS: motor /dev/ttyUSB0 portuna bağlandı
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SUCCESS: motor verilen porta başarıyla bağlandı: /dev/ttyUSB0
2025-10-15 09:13:55 | INFO     | rvm_sistemi | SYSTEM: motor dinleme ve yazma thread'leri başlatıldı
2025-10-15 09:13:56 | INFO     | rvm_sistemi | MOTOR: Motor kartı başlatıldı: /dev/ttyUSB0
2025-10-15 09:13:56 | INFO     | rvm_sistemi.makine.modbus.modbus_istemci | 🔌 Modbus bağlantısı deneniyor: /dev/ttyS0
2025-10-15 09:13:57 | WARNING  | rvm_sistemi.makine.modbus.modbus_istemci | ⚠️ /dev/ttyS0 portunda cihaz bulunamadı
2025-10-15 09:13:57 | INFO     | rvm_sistemi.makine.modbus.modbus_istemci | 🔌 Modbus bağlantısı deneniyor: /dev/ttyS1
2025-10-15 09:13:57 | INFO     | rvm_sistemi.makine.modbus.modbus_istemci | ✅ Modbus bağlantısı başarılı: /dev/ttyS1
2025-10-15 09:13:57 | INFO     | rvm_sistemi.makine.modbus.modbus_istemci | 🔄 Sürücülere reset gönderiliyor...
